programa_id,anos_atividade,faixa_conceito,docentes_mestrado,docentes_doutorado,docentes_bacharelado,media_idade,dedic_integral,dedic_parcial,qualis_perio_A1,qualis_perio_A2,qualis_perio_B1,qualis_perio_B2,qualis_perio_B3,qualis_perio_B4,qualis_perio_B5,qualis_perio_C,qualis_perio_NI,total_dissertacoes,total_teses,patentes,artigos
31075010001P2,10,5,127,1113,0,48.024193548387096,1207,33,11,14,25,16,8,3,17,28,5,657,0,1,25
33283010001P5,8,4,5,765,1,49.71206225680934,717,54,11,34,25,20,4,5,21,86,6,190,0,2,27
22003010017P5,15,5,0,245,0,54.824489795918367,219,26,101,141,263,186,133,134,46,101,0,0,132,358,21
33287015001P7,7,4,0,166,0,50.126506024096386,159,7,44,64,103,33,13,7,15,28,0,10,3,25,5
33002010050P7,45,6,0,122,0,63.549180327868854,115,7,52,56,47,39,10,23,21,1,3,82,38,51,18
33002010045P3,53,6,0,122,0,58.4344262295082,109,13,55,28,47,28,4,0,32,20,2,46,52,21,41
33002010002P2,51,7,0,122,0,59.819672131147541,105,17,83,212,79,20,24,10,8,14,0,40,42,3,9
31010016002P6,44,6,0,114,0,60.201754385964911,109,5,26,75,100,35,10,20,13,14,9,63,27,1,116
33003017007P0,49,7,0,106,0,56.669811320754718,83,23,78,98,59,31,11,3,1,16,1,44,50,29,8
33003017021P3,49,7,0,102,0,58.578431372549019,99,3,59,24,37,24,5,1,9,2,1,83,46,22,5
32001010006P9,53,7,0,102,0,43.872549019607845,41,61,36,39,67,21,6,4,2,3,2,19,21,24,155
31010016004P9,32,7,0,98,0,53.387755102040813,93,5,46,59,88,49,12,12,10,19,1,31,21,15,10
33147019001P2,12,4,0,95,0,47.347368421052629,93,2,10,28,73,31,9,3,10,6,0,29,18,2,7
42001013098P9,13,5,0,91,0,54.109890109890109,78,13,7,22,32,21,13,10,13,4,1,52,47,1,15
32005016039P0,7,4,0,87,0,44.609195402298852,87,0,26,51,45,52,13,5,4,12,1,25,3,20,2
31001017012P6,58,7,0,86,0,57.895348837209305,79,7,30,38,61,23,5,5,7,10,1,28,24,2,1
53001010100P8,8,4,0,82,0,52.207317073170735,69,13,45,36,62,36,35,28,8,27,0,0,17,34,64
33002010156P0,30,5,0,80,0,56.7375,74,6,61,74,81,23,6,11,4,14,0,15,19,92,50
33003017022P0,47,7,1,79,0,56.9375,76,4,24,36,34,4,8,5,4,18,14,76,33,31,8
22001018074P6,11,4,0,78,0,58.205128205128204,77,1,18,19,57,33,18,71,20,17,5,0,48,3,29
33002053010P7,11,5,0,75,0,55.613333333333337,71,4,72,69,32,29,35,56,9,0,0,65,44,1,34
52001016034P9,15,4,0,74,0,54.662162162162161,50,24,12,30,54,60,40,25,25,10,1,33,26,3,34
32001010002P3,53,7,0,73,0,55.013698630136986,71,2,29,58,25,13,3,2,2,4,0,17,15,11,2
33009015070P2,11,4,0,71,0,50.154929577464792,71,0,37,56,46,16,2,13,3,1,3,47,11,1,5
42001013002P1,57,7,1,71,0,58.152777777777779,71,1,43,61,50,24,16,6,2,6,1,12,18,6,10
33002045004P1,47,6,0,70,0,51.828571428571429,70,0,54,27,14,7,26,8,11,3,1,40,61,1,28
42001013040P0,36,7,0,69,0,53.043478260869563,68,1,31,68,42,40,11,1,2,26,3,23,23,40,2
33011010013P3,9,4,0,68,0,57.279411764705884,65,3,13,15,20,9,20,3,9,12,9,34,14,10,4
33004102072P9,22,6,0,66,0,57.136363636363633,61,5,23,83,72,28,10,22,48,1,0,22,53,1,26
33004030072P8,28,7,0,64,0,57.5625,64,0,51,67,89,60,13,7,13,17,0,33,29,44,54
32001010005P2,54,7,0,64,0,53.09375,62,2,46,61,49,41,11,3,4,8,0,35,30,65,6
33002010171P9,26,7,0,64,0,55.96875,57,7,61,61,71,52,31,7,6,7,1,19,26,2,2
33002029010P0,51,5,0,63,0,58.444444444444443,63,0,28,26,62,76,43,11,11,22,0,10,25,3,6
31001017006P6,58,7,0,63,0,56.746031746031747,63,0,28,38,46,33,8,2,5,10,0,41,20,15,6
33002045020P7,10,7,0,63,0,56.444444444444443,60,3,67,52,57,36,8,4,6,21,2,24,56,23,10
31010016001P0,45,7,0,62,0,56.322580645161288,60,2,27,34,82,41,21,7,4,8,0,22,18,47,5
33002010046P0,50,6,1,61,0,58.322580645161288,57,5,30,12,24,5,0,10,3,3,18,23,27,14,26
33073015001P5,24,5,0,61,0,52.311475409836063,53,8,34,22,47,45,29,4,0,6,0,41,30,3,621
33003017041P4,35,4,0,60,1,57.754098360655739,60,1,13,6,13,7,2,1,7,3,6,31,17,4,21
53001010047P0,26,5,0,60,0,54.533333333333331,56,4,18,32,45,33,40,20,3,8,0,45,18,3,2
33003025001P8,12,4,0,60,0,49.283333333333331,56,4,15,7,8,7,13,4,0,2,0,33,1,4,8
32001010015P8,49,7,1,59,0,51.166666666666664,59,1,39,15,25,9,2,0,3,3,0,66,22,8,4
33119015001P0,22,4,0,59,0,51.644067796610166,54,5,25,29,13,18,33,16,2,0,0,350,0,18,26
33003017004P1,44,6,0,59,0,56.457627118644069,52,7,9,10,23,14,4,4,6,0,1,12,26,2,1
31010016003P2,41,5,0,58,0,57.8448275862069,53,5,27,54,61,29,26,11,9,10,0,27,38,2,22
33004080027P6,38,5,0,56,0,56.678571428571431,51,5,19,13,19,9,8,13,13,14,14,34,31,6,12
42015014006P4,19,4,0,55,0,52.690909090909088,55,0,10,28,36,38,15,20,3,21,1,29,15,5,11
33003017024P2,41,7,0,54,0,53.685185185185183,36,18,31,46,49,21,25,20,14,13,0,22,25,9,17
31001017029P6,55,6,0,53,0,57.358490566037737,52,1,21,65,10,8,1,0,2,1,2,47,22,3,1
33003017034P8,41,6,0,53,0,57.113207547169814,50,3,54,18,15,3,3,1,34,1,0,47,28,43,16
40002012041P8,11,3,1,53,0,53.833333333333336,42,12,20,18,31,25,30,20,7,2,0,33,0,27,11
32001010042P5,32,6,0,52,0,54.28846153846154,52,0,14,67,68,9,3,6,5,0,0,38,21,9,129
41001010006P8,52,7,3,52,0,58.490909090909092,54,1,29,15,15,4,6,4,6,2,10,56,22,2,9
27001016009P3,19,5,0,52,0,50.403846153846153,48,4,7,15,35,46,12,6,10,17,4,21,19,64,9
33112010001P5,22,4,0,52,0,56.71153846153846,45,7,10,6,21,30,37,18,12,37,2,42,21,1,36
31001017037P9,45,6,0,51,0,56.490196078431374,51,0,49,17,18,5,4,15,18,4,0,41,39,17,24
32001010007P5,49,7,1,51,0,52.634615384615387,52,0,22,35,52,17,5,2,2,4,0,16,23,18,9
22001018004P8,45,5,1,51,0,54.28846153846154,52,0,23,34,19,24,14,7,2,3,0,22,29,21,1
33003017005P8,44,7,2,50,0,51.846153846153847,52,0,24,24,20,4,9,3,7,2,5,40,17,19,2
31033016001P2,27,5,0,50,0,53.94,49,1,21,32,54,18,1,3,15,0,0,35,13,3,11
33010013009P6,27,4,0,50,0,60.04,41,9,13,13,31,1,7,3,7,3,20,29,17,22,3
41001010022P3,50,7,0,49,0,55.387755102040813,47,2,29,28,22,17,6,0,0,5,0,31,17,10,1
31001017028P0,54,7,1,49,0,62.38,45,5,27,8,26,9,4,5,1,4,3,53,32,7,17
51001012019P7,15,4,1,48,0,55.510204081632651,49,0,20,14,32,10,12,11,5,15,0,33,20,7,69
41001010005P1,50,6,1,48,0,56.04081632653061,49,0,23,14,10,11,2,0,2,2,1,47,16,3,2
33011010012P7,19,5,0,48,0,55.354166666666664,44,4,19,11,22,4,15,7,10,11,9,59,0,5,8
31001017017P8,56,6,0,47,0,56.425531914893618,47,0,21,39,42,34,10,12,2,11,0,21,13,12,5
40002012039P3,12,4,0,47,0,51.191489361702125,47,0,6,37,21,29,15,5,9,13,0,0,16,20,4
33002029017P5,42,7,0,47,0,55.8936170212766,47,0,27,43,42,27,4,7,9,3,0,22,27,3,7
23001011047P1,12,4,0,47,0,54.468085106382979,46,1,12,19,46,36,23,14,1,14,0,0,9,22,9
40006018001P1,33,5,0,47,0,52.638297872340424,46,1,27,8,14,8,3,0,4,6,0,40,16,5,2
33003017077P9,20,5,0,47,0,58.319148936170215,45,2,6,11,1,0,3,0,0,7,2,34,13,1,33
33002010130P0,51,5,0,47,0,59.234042553191486,42,5,31,7,10,9,5,8,1,4,2,31,8,5,48
25003011009P0,22,4,0,46,0,56.108695652173914,46,0,17,21,31,32,15,10,2,1,0,0,41,3,12
31001017148P5,9,4,1,46,0,54.191489361702125,46,1,18,29,45,17,3,2,10,9,0,4,0,1,5
31001017136P7,12,4,1,46,0,59.063829787234042,45,2,40,14,11,5,2,11,13,4,0,15,0,20,21
33002029031P8,26,6,0,45,0,53.733333333333334,45,0,17,44,46,22,5,4,2,12,0,22,14,20,11
33002045011P8,51,6,2,45,0,53.638297872340424,47,0,24,11,14,0,2,6,2,1,4,30,16,16,6
31003010027P0,30,5,0,45,0,50.733333333333334,44,1,14,36,22,27,7,1,4,4,0,23,15,6,1
32001010079P6,14,5,0,45,0,52.444444444444443,44,1,45,32,33,14,7,1,2,2,0,14,8,3,12
33001014011P5,33,5,0,45,0,50.955555555555556,44,1,6,29,34,13,3,1,14,4,1,5,13,1,47
42001013016P2,47,7,0,45,0,57.733333333333334,43,2,57,24,18,14,4,15,16,5,1,98,36,38,7
41001010048P2,20,4,0,45,0,58.62222222222222,43,2,11,9,2,1,7,2,14,3,0,35,9,1,4
28001010025P5,32,5,0,45,0,59.111111111111114,35,10,11,17,35,18,11,6,5,3,1,10,14,5,2
33002010077P2,50,5,0,45,0,56.2,35,10,42,50,29,19,30,41,8,0,0,19,20,2,224
31036015001P1,21,6,0,44,0,57.409090909090907,44,0,27,27,21,7,2,1,2,0,0,11,9,2,18
33002010176P0,24,6,0,44,0,54.022727272727273,43,1,7,12,14,10,6,0,4,2,0,36,18,2,6
33004056083P7,17,6,0,44,0,54.18181818181818,43,1,48,29,33,9,13,20,7,1,1,16,13,7,48
28001010004P8,53,5,0,44,0,52.727272727272727,42,2,10,27,19,18,7,2,3,3,0,24,22,13,3
33009015080P8,9,4,0,44,0,49.795454545454547,42,2,19,23,22,11,3,3,5,2,2,22,10,3,5
24009016005P0,48,4,0,44,0,46.363636363636367,36,8,9,4,9,0,5,0,2,6,0,16,15,2,1
40001016015P0,48,4,0,43,0,58.604651162790695,43,0,2,7,70,5,14,12,44,3,1,21,16,2,28
31004016022P0,24,5,0,43,0,52.2093023255814,43,0,39,82,16,4,2,1,1,7,0,9,9,1,1
42002010012P7,36,6,0,43,1,50.954545454545453,43,1,8,57,41,27,12,3,2,2,0,25,22,22,1
20001010009P4,22,4,0,43,0,50.372093023255815,40,3,10,12,12,11,7,3,2,3,0,13,13,11,1
28001010075P2,12,4,0,43,0,56.139534883720927,38,5,11,22,24,7,6,37,9,2,0,13,9,1,12
31010016015P0,15,6,0,43,0,55.325581395348834,29,14,16,7,23,13,3,5,2,9,0,10,7,1,31
32006012008P3,25,4,0,42,0,49.88095238095238,42,0,5,8,21,23,11,1,1,5,0,53,19,20,10
25001019045P4,27,4,0,42,0,57.476190476190474,40,2,16,27,55,14,21,7,3,11,2,24,29,18,1
25001019062P6,15,3,1,42,0,50.767441860465119,40,3,25,10,10,2,8,2,11,5,2,89,0,2,8
33019010010P1,18,4,0,42,0,60.071428571428569,19,23,24,15,19,18,22,6,3,10,0,21,8,4,57
23001011031P8,20,5,0,41,0,58.292682926829265,41,0,8,30,55,21,44,17,0,18,0,12,20,21,1
53001010007P8,48,6,0,41,0,56.31707317073171,41,0,16,23,29,19,9,8,11,15,0,7,16,24,4
31001017145P6,10,4,0,41,0,49.951219512195124,41,0,21,15,17,2,4,7,4,4,0,19,0,1,16
25001019002P3,48,6,0,41,0,55.195121951219512,41,0,6,43,26,15,3,0,2,4,0,9,15,6,2
42001013023P9,51,7,0,41,0,54.048780487804876,40,1,19,31,38,37,18,0,5,5,0,32,26,91,6
33003017026P5,44,5,0,41,0,56.365853658536587,38,3,12,9,25,20,3,0,10,3,1,15,16,1,8
33014019001P0,47,7,0,41,0,58.31707317073171,36,5,12,42,18,20,27,24,2,0,19,24,36,1,310
22003010028P7,6,4,2,41,0,51.02325581395349,37,6,3,3,5,5,6,1,3,3,42,8,0,8,4
33003017063P8,33,5,0,41,0,59.390243902439025,34,7,9,22,25,25,36,5,2,3,0,25,16,14,4
33009015075P4,10,3,0,40,0,47.975,40,0,4,18,22,17,5,3,0,10,0,31,0,4,9
31001017004P3,50,7,0,40,1,62.609756097560975,41,0,15,34,13,4,5,2,4,1,4,31,30,1,1
32001010014P1,49,7,1,40,0,54.195121951219512,40,1,30,6,21,9,11,2,8,1,0,27,8,2,2
53001010005P5,47,5,1,40,0,48.048780487804876,40,1,9,13,14,14,8,0,1,7,0,20,11,18,21
23001011033P0,18,4,0,40,0,49.75,39,1,12,12,26,32,24,27,6,7,2,38,11,1,4
25001019036P5,32,6,0,40,0,54.5,39,1,19,25,29,18,14,0,0,3,1,5,16,18,1
51001012007P9,25,4,0,40,0,47.625,31,9,8,14,11,9,1,2,5,7,2,16,9,21,4
33001014016P7,24,6,0,40,0,50.075,25,15,40,30,28,8,4,6,3,0,3,21,23,1,2
32001010025P3,42,6,0,39,0,52.8974358974359,39,0,26,31,31,21,13,15,3,0,0,19,19,4,5
31003010044P1,22,4,1,39,0,56.15,38,2,1,1,10,11,5,26,7,8,0,38,21,1,109
32001010016P4,49,5,0,39,0,56.051282051282051,37,2,14,9,13,6,7,6,2,5,4,47,14,11,6
25020013005P0,8,3,1,39,0,45.9,36,4,4,2,13,13,5,7,2,1,0,41,0,16,5
33011010005P0,60,4,0,39,0,57.256410256410255,33,6,11,5,10,16,2,0,4,1,0,32,10,5,4
31003010089P5,9,3,0,39,0,49.256410256410255,13,26,11,26,30,9,1,6,8,3,1,33,0,2,23
33002045017P6,28,4,0,38,0,58.026315789473685,38,0,54,54,30,13,14,35,5,0,1,14,13,21,16
33001014003P2,45,4,0,38,0,61.868421052631582,38,0,21,9,34,34,34,6,6,21,0,10,13,2,9
28001010002P5,46,3,0,38,0,53.60526315789474,38,0,6,15,14,14,7,2,2,6,1,8,6,6,2
22001018002P5,45,6,0,38,0,52.473684210526315,38,0,6,25,11,6,5,1,5,4,0,16,24,5,9
23001011010P0,35,6,0,38,0,51.236842105263158,38,0,17,27,12,8,4,0,2,1,0,11,11,8,1
31010016030P0,9,4,0,38,0,51.5,37,1,22,14,32,32,13,7,8,5,1,11,10,2,41
32007019006P7,26,6,0,38,0,51.736842105263158,37,1,1,11,26,10,4,1,4,10,0,15,5,3,1
12001015013P9,20,4,0,38,0,58.815789473684212,37,1,9,21,28,30,10,16,11,13,0,1,7,12,1
28001010095P3,7,4,0,38,0,46.131578947368418,37,1,11,8,3,3,0,2,4,3,0,15,1,3,5
31003010079P0,10,4,0,38,0,57.473684210526315,37,1,13,14,22,7,7,5,7,11,0,13,8,11,10
33003033008P8,28,6,0,38,0,52.526315789473685,36,2,38,39,15,16,12,6,1,0,1,35,37,1,13
33003033003P6,43,7,0,38,0,53.578947368421055,36,2,60,28,30,11,8,9,3,0,0,7,18,10,19
42001013068P2,23,6,0,38,0,54.921052631578945,35,3,20,29,38,20,5,5,7,7,0,19,17,7,6
33011010008P0,60,5,1,38,0,55.307692307692307,36,3,23,19,29,9,20,6,8,14,14,56,18,7,4
22001018046P2,16,4,0,38,0,45.94736842105263,35,3,19,17,13,9,9,10,1,5,0,15,8,6,2
42003016001P8,45,6,0,38,0,45.578947368421055,34,4,29,25,10,5,13,18,4,0,0,24,15,3,3
53001010051P7,19,4,0,38,0,55.868421052631582,33,5,7,9,27,30,11,5,1,3,0,11,7,2,17
33002010162P0,30,4,0,38,0,57.236842105263158,29,9,32,54,24,3,1,2,3,4,0,11,10,8,15
40001016026P2,30,6,0,37,0,53.729729729729726,37,0,25,41,28,16,8,9,0,5,2,27,11,28,2
33144010001P7,14,5,0,37,0,49.756756756756758,37,0,30,74,18,8,2,0,0,1,0,9,11,3,7
41001010044P7,22,5,0,37,0,52.054054054054056,36,1,5,23,29,37,16,1,2,4,0,18,16,8,1
33002029043P6,9,5,0,37,0,55.783783783783782,28,9,22,18,35,39,21,3,3,11,121,15,0,16,4
33002010022P3,48,6,1,37,0,58.421052631578945,26,12,18,25,42,21,15,8,2,10,0,15,17,4,15
33002010021P7,51,6,0,36,0,58.833333333333336,36,0,17,14,18,23,11,8,9,12,0,9,13,4,70
33002029023P5,33,7,0,36,0,53.777777777777779,36,0,16,35,48,36,16,5,2,3,2,26,19,21,6
42001013056P4,29,5,0,36,0,60.638888888888886,36,0,50,37,34,23,7,5,1,0,0,14,5,47,2
33002029027P0,30,6,1,36,0,56.972972972972975,37,0,18,27,39,32,3,8,3,6,1,24,24,1,8
33004102001P4,45,6,0,36,0,55.416666666666664,36,0,13,20,108,38,18,6,13,2,0,22,21,2,43
32067011001P6,18,6,0,36,0,54.416666666666664,35,1,15,32,24,17,8,5,1,0,0,15,12,15,7
33002010188P9,19,4,0,36,0,55,34,2,38,18,23,9,6,3,4,7,0,12,9,1,6
42002010036P3,14,3,0,36,0,47.222222222222221,33,3,4,1,6,1,3,0,2,5,3,21,0,3,2
31003010076P0,10,3,0,36,0,58.583333333333336,32,4,4,5,10,6,12,20,12,14,0,24,0,1,42
28025016001P4,15,4,0,36,1,53.054054054054056,9,28,19,34,38,15,10,1,1,1,0,4,5,5,4
31001017147P9,9,5,0,35,0,49.485714285714288,35,0,26,24,28,8,5,1,2,5,0,7,4,7,1
33001014020P4,17,4,0,35,0,56.114285714285714,35,0,16,23,30,18,6,4,9,13,0,9,8,33,76
33081018001P4,22,5,0,35,0,54.6,35,0,18,19,28,9,1,3,11,0,0,16,8,1,42
40006018011P7,11,3,0,35,0,48.657142857142858,35,0,6,2,4,4,3,1,2,6,0,11,0,3,1
33001014004P9,42,7,0,35,0,59.2,35,0,93,32,13,8,10,3,3,0,0,38,8,35,8
33003017033P1,41,6,0,35,0,57.2,35,0,5,21,40,18,26,7,10,5,0,14,10,15,10
53001010088P8,10,4,0,35,0,48.657142857142858,34,1,15,10,15,6,7,10,0,2,0,43,5,11,6
31003010045P8,21,4,0,35,0,54.714285714285715,33,2,4,0,5,2,10,16,34,24,4,119,0,3,18
24001015038P5,25,5,0,35,0,52.057142857142857,33,2,2,8,17,16,4,5,2,0,0,26,0,3,2
42002010020P0,27,4,0,35,0,53.228571428571428,32,3,1,1,10,5,3,5,10,2,4,25,1,2,8
42002010032P8,15,4,0,35,0,49.542857142857144,31,4,9,19,37,25,13,2,3,3,3,14,12,7,3
28001010012P0,49,5,0,35,0,56.6,30,5,9,10,22,43,14,5,7,18,0,19,10,1,50
32001010010P6,52,6,0,35,0,55.371428571428574,30,5,5,11,33,16,8,3,1,3,0,8,16,23,4
28001010039P6,21,6,0,35,0,52.542857142857144,28,7,26,12,17,22,10,0,4,13,0,9,9,3,3
33004102049P7,31,5,0,35,0,56.457142857142856,26,9,5,9,33,16,6,2,0,2,0,10,14,2,11
32001010068P4,19,6,0,35,0,49.914285714285711,26,9,24,28,30,17,8,8,7,27,0,13,14,32,6
33002010121P1,38,7,0,35,0,57,25,10,32,14,45,19,6,3,0,6,0,15,13,8,18
33083010001P7,23,4,0,35,0,59.6,21,14,1,1,0,1,0,4,10,4,10,29,0,2,74
31056016001P5,20,4,0,34,0,61.205882352941174,34,0,6,10,9,2,8,2,1,0,0,8,5,4,3
33144010005P2,14,3,0,34,0,53.294117647058826,34,0,10,6,15,10,7,3,1,0,0,14,14,3,17
33009015087P2,7,3,0,34,0,49.411764705882355,34,0,20,7,8,4,1,4,1,0,1,18,0,2,13
23001011008P6,38,4,0,34,0,52.705882352941174,34,0,15,6,14,13,0,1,6,7,1,36,24,3,1
31001017099P4,30,5,0,34,0,47.735294117647058,34,0,10,20,10,18,14,0,0,2,0,16,7,4,1
42002010023P9,23,5,0,34,0,45.058823529411768,33,1,18,26,78,41,19,5,29,18,0,19,15,3,14
23001011020P6,25,4,0,34,0,51.205882352941174,33,1,9,22,25,18,10,5,5,1,0,16,5,19,6
32001010085P6,12,5,1,34,0,54.771428571428572,34,1,6,18,20,10,5,0,1,13,0,14,0,31,3
15001016044P0,17,4,0,34,0,50.911764705882355,32,2,3,12,21,9,11,3,8,12,0,16,6,3,5
42005019014P5,28,7,0,34,0,58.3235294117647,31,3,28,23,33,54,15,9,2,18,0,19,11,2,9
33003017052P6,33,5,0,34,0,59.617647058823529,29,5,6,6,22,25,26,34,13,14,0,12,4,4,20
23001011009P2,38,4,0,34,0,54.088235294117645,28,6,9,10,8,0,3,1,3,6,2,36,31,13,1
